System initialized

Reading in Gromacs topology "system_GMX.top"...
Topology loaded

Reading in Gromacs structure "system_GMX.gro"...
Structure loaded

Writing Gromacs structure file...
Finished writing "system_GMX_out.gro"

Writing Gromacs topology file...
Finished writing "system_GMX_out.top"

         31370901 function calls (28826149 primitive calls) in 30.697 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 LJ2PairCR23.py:4(LJ2PairCR23)
        1    0.000    0.000    0.000    0.000 LJ2PairCR23Type.py:1(<module>)
        1    0.000    0.000    0.000    0.000 LJ2PairCR23Type.py:4(LJ2PairCR23Type)
        1    0.000    0.000    0.000    0.000 LJNBPairCR1.py:1(<module>)
        1    0.000    0.000    0.000    0.000 LJNBPairCR1.py:4(LJNBPairCR1)
        1    0.000    0.000    0.000    0.000 LJNBPairCR1Type.py:1(<module>)
        1    0.000    0.000    0.000    0.000 LJNBPairCR1Type.py:4(LJNBPairCR1Type)
        1    0.000    0.000    0.000    0.000 LJNBPairCR23.py:1(<module>)
        1    0.000    0.000    0.000    0.000 LJNBPairCR23.py:5(LJNBPairCR23)
        1    0.000    0.000    0.000    0.000 LJNBPairCR23Type.py:1(<module>)
        1    0.000    0.000    0.000    0.000 LJNBPairCR23Type.py:4(LJNBPairCR23Type)
        1    0.000    0.000    0.000    0.000 Molecule.py:12(Molecule)
        3    0.000    0.000    0.000    0.000 Molecule.py:15(__init__)
     3254    0.003    0.000    0.015    0.000 Molecule.py:25(addAtom)
        1    0.000    0.000    0.000    0.000 Molecule.py:7(<module>)
        1    0.000    0.000    0.000    0.000 MoleculeType.py:1(<module>)
     8363    0.006    0.000    0.023    0.000 MoleculeType.py:20(addMolecule)
        1    0.000    0.000    0.000    0.000 MoleculeType.py:3(MoleculeType)
     8363    0.716    0.000    0.777    0.000 MoleculeType.py:8(__init__)
        1    0.000    0.000    0.000    0.000 Morse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Morse.py:4(Morse)
        1    0.000    0.000    0.000    0.000 MorseBondType.py:1(<module>)
        1    0.000    0.000    0.000    0.000 MorseBondType.py:4(MorseBondType)
        1    0.000    0.000    0.000    0.000 OrderedSet.py:1(<module>)
    16735    0.015    0.000    0.019    0.000 OrderedSet.py:14(__iter__)
    42140    0.090    0.000    0.177    0.000 OrderedSet.py:20(add)
        1    0.000    0.000    0.000    0.000 OrderedSet.py:3(OrderedSet)
     8367    0.010    0.000    0.010    0.000 OrderedSet.py:4(__init__)
        6    0.041    0.007    4.079    0.680 OrderedSet.py:54(__getitem__)
        3    0.000    0.000    0.000    0.000 OrderedSet.py:8(__len__)
        1    0.000    0.000    0.000    0.000 OrientationRestraint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 OrientationRestraint.py:3(OrientationRestraint)
        1    0.000    0.000    0.000    0.000 PositionRestraint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PositionRestraint.py:3(PositionRestraint)
        1    0.000    0.000    0.000    0.000 ProperDihedral1.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ProperDihedral1.py:4(ProperDihedral1)
        1    0.000    0.000    0.000    0.000 ProperDihedral9.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ProperDihedral9.py:4(ProperDihedral9)
    12189    0.033    0.000    0.053    0.000 ProperDihedral9.py:6(__init__)
        1    0.000    0.000    0.001    0.001 QuarticAngle.py:1(<module>)
        1    0.000    0.000    0.001    0.001 QuarticAngle.py:4(QuarticAngle)
        1    0.000    0.000    0.000    0.000 RBDihedral.py:1(<module>)
        1    0.000    0.000    0.000    0.000 RBDihedral.py:5(RBDihedral)
        1    0.000    0.000    0.000    0.000 Settles.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Settles.py:3(Settles)
        1    0.000    0.000    0.000    0.000 Settles.py:5(__init__)
        1    0.000    0.000    0.000    0.000 System.py:11(System)
        1    0.000    0.000    0.000    0.000 System.py:13(__init__)
        1    0.001    0.001    0.058    0.058 System.py:4(<module>)
     8363    0.047    0.000    0.875    0.000 System.py:46(addMolecule)
        1    0.000    0.000    0.000    0.000 System.py:69(setBoxVector)
        1    0.000    0.000    0.000    0.000 UreyBradleyAngle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 UreyBradleyAngle.py:4(UreyBradleyAngle)
        1    0.000    0.000    0.000    0.000 VSite2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 VSite2.py:3(VSite2)
        1    0.000    0.000    0.000    0.000 VSite3.py:1(<module>)
        1    0.000    0.000    0.000    0.000 VSite3.py:3(VSite3)
        1    0.000    0.000    0.000    0.000 VSite3fad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 VSite3fad.py:3(VSite3fad)
        1    0.000    0.000    0.000    0.000 VSite3fd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 VSite3fd.py:3(VSite3fd)
        1    0.000    0.000    0.000    0.000 VSite3out.py:1(<module>)
        1    0.000    0.000    0.000    0.000 VSite3out.py:3(VSite3out)
        1    0.000    0.000    0.000    0.000 VSite4fdn.py:1(<module>)
        1    0.000    0.000    0.000    0.000 VSite4fdn.py:3(VSite4fdn)
        4    0.006    0.002    0.025    0.006 __init__.py:1(<module>)
        2    0.002    0.001    0.114    0.057 __init__.py:3(<module>)
        4    0.000    0.000    0.000    0.000 _abcoll.py:357(itervalues)
        2    0.000    0.000    0.000    0.000 _abcoll.py:371(values)
        1    0.000    0.000    0.000    0.000 _abcoll.py:483(update)
     8363    0.010    0.000    0.010    0.000 _abcoll.py:504(setdefault)
        4    0.000    0.000    0.000    0.000 _abcoll.py:97(__subclasshook__)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
